date,zone_id,zone_type,traffic_level,population_density,month,day_of_week,festival_flag,rainfall_mm,avg_daily_waste_kg,estimated_fill_percent,days_since_last_collection,distance_to_depot_km
2026-02-28,1,residential,moderate,4500,2,5,0,2.5,125.8,65.3,2,8.5
2026-02-28,2,residential,light,3200,2,5,0,2.5,89.5,48.2,3,6.2
2026-02-28,3,commercial,heavy,8500,2,5,0,2.5,285.3,92.1,1,12.3
2026-02-28,4,commercial,moderate,7200,2,5,0,2.5,215.8,78.5,2,10.8
2026-02-28,5,industrial,light,2100,2,5,0,2.5,362.5,85.2,4,15.2
2026-02-28,6,residential,moderate,3800,2,5,0,2.5,98.2,55.8,2,7.1
2026-02-28,7,residential,heavy,5200,2,5,0,2.5,135.2,72.4,1,9.3
2026-02-28,8,commercial,light,6800,2,5,0,2.5,245.8,68.9,3,11.5
2026-02-28,9,industrial,moderate,1800,2,5,0,2.5,385.5,91.2,5,18.2
2026-02-28,10,agricultural,light,1200,2,5,0,2.5,52.8,42.1,7,22.5
2026-02-28,11,residential,moderate,4100,2,5,1,5.8,145.3,78.5,2,8.2
2026-02-28,12,commercial,heavy,8900,2,5,1,5.8,315.8,95.2,1,13.1
2026-02-28,13,residential,light,3500,2,5,0,2.5,82.5,45.8,3,6.8
2026-02-28,14,industrial,moderate,2200,2,5,0,2.5,375.2,88.3,4,16.5
2026-02-28,15,residential,heavy,5500,2,5,0,2.5,155.8,76.2,1,9.8
2026-02-28,16,commercial,moderate,7500,2,5,0,2.5,235.3,72.5,2,11.2
2026-02-28,17,agricultural,light,1400,2,5,0,2.5,48.5,38.4,6,21.8
2026-02-28,18,residential,moderate,3900,2,5,0,2.5,105.2,58.3,2,7.5
2026-02-28,19,commercial,heavy,8200,2,5,0,2.5,295.5,82.8,1,12.8
2026-02-28,20,residential,light,3300,2,5,0,2.5,75.8,42.1,3,6.5
